src,dst,time
1022,1410,timestamp1
1272,51,timestamp1
359,125,timestamp1
2,617,timestamp1
1022,1148,timestamp1
1272,1112,timestamp1
359,972,timestamp1
96,617,timestamp1
1022,938,timestamp1
1272,461,timestamp1
359,645,timestamp1
523,618,timestamp1
1022,1002,timestamp1
1272,317,timestamp1
359,1449,timestamp1
79,619,timestamp1
1022,97,timestamp1
1272,52,timestamp1
359,22,timestamp1
60,620,timestamp1
1022,315,timestamp1
1272,470,timestamp1
359,973,timestamp1
20,621,timestamp1
1022,491,timestamp1
1272,1380,timestamp1
359,483,timestamp1
17,621,timestamp1
1022,489,timestamp1
1272,1455,timestamp1
359,794,timestamp1
76,621,timestamp1
1022,1028,timestamp1
1272,1172,timestamp1
359,27,timestamp1
2,622,timestamp1
1022,1149,timestamp1
76,1273,timestamp1
359,608,timestamp1
47,623,timestamp1
1022,797,timestamp1
20,1273,timestamp1
359,304,timestamp1
79,623,timestamp1
1022,941,timestamp1
254,1274,timestamp1
359,527,timestamp1
62,624,timestamp1
1022,386,timestamp1
264,1275,timestamp1
359,504,timestamp1
62,625,timestamp1
1022,1026,timestamp1
6,1276,timestamp1
359,21,timestamp1
23,626,timestamp1
1022,559,timestamp1
70,1277,timestamp1
359,418,timestamp1
2,627,timestamp1
1022,1447,timestamp1
37,1278,timestamp1
359,247,timestamp1
169,628,timestamp1
1022,1156,timestamp1
60,1279,timestamp1
359,1356,timestamp1
76,629,timestamp1
1022,461,timestamp1
83,1280,timestamp1
359,1218,timestamp1
17,629,timestamp1
1022,1120,timestamp1
1281,265,timestamp1
359,202,timestamp1
20,629,timestamp1
1022,1177,timestamp1
1281,1194,timestamp1
359,525,timestamp1
2,630,timestamp1
80,1022,timestamp1
1281,857,timestamp1
359,361,timestamp1
62,631,timestamp1
2,1023,timestamp1
1281,1352,timestamp1
359,133,timestamp1
58,632,timestamp1
23,1024,timestamp1
1281,826,timestamp1
359,1292,timestamp1
135,633,timestamp1
20,1025,timestamp1
1281,716,timestamp1
359,277,timestamp1
70,633,timestamp1
1026,1174,timestamp1
1281,917,timestamp1
359,1294,timestamp1
62,634,timestamp1
1026,1102,timestamp1
1281,713,timestamp1
359,216,timestamp1
264,635,timestamp1
1026,747,timestamp1
1281,932,timestamp1
359,262,timestamp1
20,636,timestamp1
1026,213,timestamp1
1281,657,timestamp1
359,505,timestamp1
62,637,timestamp1
79,1027,timestamp1
1281,530,timestamp1
359,404,timestamp1
169,638,timestamp1
1028,1083,timestamp1
1281,567,timestamp1
359,701,timestamp1
66,639,timestamp1
299,1028,timestamp1
1281,289,timestamp1
359,138,timestamp1
31,640,timestamp1
14,1028,timestamp1
1281,1014,timestamp1
359,522,timestamp1
23,641,timestamp1
20,1029,timestamp1
1281,398,timestamp1
359,492,timestamp1
62,642,timestamp1
1030,820,timestamp1
1281,1060,timestamp1
